"nursery_id"	"2-hexanone-1,1,1,3.3-d5"	"Benzaldehyde-d6"	"Ethyl acetate-d8"
"174"	10273	3441548	1145460	NA
"175"	10274	3294622	1120093	925910
"176"	10286	3542636	1145972	1180490
"177"	10290	2605700	970387	729081
"178"	10295	2703612	984129	779777
"179"	10313	2929250	1116175	550890
"180"	10331	3081172	1123033	611039
"181"	10337	3939046	1177256	1312539
"182"	10342	3828396	1143534	1234064
"183"	11005	3360614	1132384	651190
"184"	11009	3276828	1139440	976207
"185"	11012	3383417	1211297	860669
"186"	11015	3943951	1213995	1000611
"187"	11017	3651026	1119256	1081999
"188"	11022	3450522	1079050	1207145
"189"	11025	3682495	1126399	948356
"190"	11026	3597639	1100902	816010
"191"	11041	3439219	1122690	799942
"192"	11044	3779302	1103607	1186714
"193"	11054	2108368	1007363	310779
"194"	11059	3772000	1137747	994895
"195"	11069	4293716	1224243	1416416
"196"	11071	3708101	1099520	1194734
"197"	11075	3272347	1059305	884848
"198"	11085	3551450	1077033	1045573
"199"	11087	3366842	1090310	1015577
"200"	11096	3636511	1053873	1147170
"201"	11102	3649741	1073920	1224518
"202"	11107	3419554	1075282	1163075
"203"	11122	2725923	958624	920343
"204"	11127	3443607	1077154	1106706
"205"	11129	3321872	1058064	1008018
"206"	11132	2904677	1042902	669346
"207"	11140	2826207	916941	934931
"208"	11151	3691697	1061943	1028592
"209"	11153	3008529	1021128	619100
"210"	11157	3037228	1222293	712247
"211"	11158	3246974	1060075	832273
"212"	1115	2244003	825005	717776
"213"	11165	3458995	1052213	909473
"214"	11169	3041474	969820	1010301
"215"	11174	2627923	926589	673217
"216"	11178	3503379	1082791	1080896
"217"	11190	3429364	1051093	1065054
"218"	11199	3209934	991218	711264
"219"	11200	2992876	981544	665104
"220"	11204	2853084	1023985	914888
"221"	11206	3162887	1136622	914805
"222"	11214	4922536	1793344	1468771
"223"	11219	2547086	916350	849837
"224"	11221	2691900	930109	1049596
"225"	11224	2661831	889127	943013
"226"	11227	3152705	1049361	926908
"227"	11231	2845866	894987	1054993
"228"	11238	3228197	1005754	991427
"229"	11239	3092854	1072869	740379
"230"	11245	2695075	1085581	519257
"231"	11257	3700195	1116740	1236391
"232"	11263	3388396	1127853	975367
"233"	11272	2799132	1086087	614319
"234"	11278	3184240	1103115	549203
"235"	11283	3340052	1175524	855101
"236"	11287	3730695	1157542	923595
"237"	11295	3339125	1090945	912766
"238"	11320	2774755	1019489	612206
"239"	11335	3521998	1140285	1128062
"240"	1147	2377775	810859	858165
"241"	1158	2660510	870174	885624
"242"	12006	2598614	1024784	460662
"243"	12007	3368419	1083383	957987
"244"	12019	3179625	1113047	972493
"245"	12025	3739722	1231149	1104391
"246"	12028	3301960	1081670	961634
"247"	12032	2914686	1052675	627521
"248"	12045	3481743	1082891	1132883
"249"	12054	3404405	1081526	1073678
"250"	12060	3313890	1026468	962476
"251"	12061	3112538	1111376	764429
"252"	12070	3217677	1047111	946269
"253"	12075	3260481	1015792	954616
"254"	12078	2973248	1045566	832808
"255"	12081	3115862	1030429	793651
"256"	12089	3180189	1050729	777124
"257"	12094	2847293	1020416	490323
"258"	12099	2991038	1035017	NA
"259"	12114	2416359	1004756	282661
"260"	12147	2958794	1053465	762845
"261"	1220	2660411	860491	1019319
"262"	1256	2133047	782771	546321
"263"	1271	3641938	1090087	1135715
"264"	13006	2529725	943660	559880
"265"	13009	2681660	988687	623015
"266"	13013	2955587	942063	1071716
"267"	13023	2637413	910413	740684
"268"	13029	2785052	960708	894422
"269"	1302	3183370	996091	1110770
"270"	13031	3324023	1028675	1038310
"271"	13042	2880679	972906	913986
"272"	13052	2781714	913838	888393
"273"	13055	2102821	913203	403113
"274"	13060	2356912	926820	686084
"275"	13066	2955359	1010112	939466
"276"	13067	2540509	878892	824697
"277"	1306	2484567	855064	941491
"278"	13071	2530885	937857	658513
"279"	13073	3038550	910556	1079068
"280"	13077	2121469	824872	NA
"281"	13115	2512499	890260	720975
"282"	13138	2420129	863106	389080
"283"	2187	2365427	805486	801324
"284"	2279	2423841	817259	846910
"285"	2293	2321996	809045	750727
"286"	2302	2606992	861529	1043186
"287"	2343	2239362	806621	560094
"288"	3039	2290432	853033	903127
"289"	3061	2310488	829590	714547
"290"	3079	2227404	800844	639997
"291"	3086	2530658	881038	702976
"292"	3121	2029083	838416	474352
"293"	3166	2068240	816769	501411
"294"	3261	2306538	811197	551929
"295"	3290	2210533	812492	599705
"296"	3310	2425472	837011	691911
"297"	3346	2603924	863566	932531
"298"	4009	2408896	833991	801317
"299"	4033	2413800	826913	861710
"300"	4044	2211338	835636	730393
"301"	4051	2342707	836974	787089
"302"	4156	2187682	762071	731347
"303"	4161	3738589	1124300	395373
"304"	4164	4191224	1165605	1350870
"305"	4169	3980688	1143666	1160064
"306"	4174	3624683	1094168	556669
"307"	4185	3908577	1234766	851592
"308"	4188	4073916	1149259	1223027
"309"	4190	3745116	1144037	981631
"310"	4200	4438127	1125809	1428042
"311"	4207	4134387	1207978	1169238
"312"	4210	4559709	1299747	1388058
"313"	4214	3817517	1111059	1016201
"314"	4219	3560134	1158292	1076104
"315"	4223	4008429	1174373	1202439
"316"	4226	3859568	1091622	1181104
"317"	4229	3294836	1088020	838571
"318"	4234	3967544	1141360	1232435
"319"	4242	3014313	1062383	837970
"320"	4244	3817669	1136632	1227228
"321"	4252	3428825	1064166	680965
"322"	4255	3802811	1084187	1155133
"323"	4258	3862234	1123195	1272685
"324"	4259	2341246	806351	783441
"325"	4263	3569637	1067754	717955
"326"	4272	3911155	1065849	1234605
"327"	4280	3369473	1051205	397162
"328"	4302	4382140	1143110	1207783
"329"	4306	3529937	1084390	993740
"330"	4311	3342309	1064121	1009026
"331"	4325	2358325	775367	816363
"332"	4334	2221932	800950	734525
"333"	5003	3271818	1056756	779964
"334"	5006	3730870	1053627	1043052
"335"	5011	2247638	766969	649158
"336"	5014	2224294	781039	607069
"337"	5022	2893823	994137	864673
"338"	5024	3455470	975713	470494
"339"	5029	3390542	1023771	835641
"340"	5031	3049870	995656	979749
"341"	5036	2215679	776884	742708
"342"	5039	3235093	1042470	1023896
"343"	5050	2432822	779682	835654
"344"	5057	2304113	787608	766339
"345"	5063	3296396	993654	612157
"346"	5074	3402884	992853	989245
"347"	5078	3934826	1310113	408439
"348"	5095	4986721	1379640	1772565
"349"	5097	4782596	1327919	1413141
"350"	5107	3255862	1445317	822698
