Row,Block,Tree,nursery_id,year_planted,guard_tree,check_tree,dead_tree,PLANTID,PLANTID_ALT1,ACCID,ACP,ACNO,ACS,kentville_block,origin,apple_id,type
19,South,47,2264,2013,0,0,0,Baldwin,,21813,PI,589884,.04,NULL,USDA,155,dessert
3,North,14,4310,2013,0,0,0,Ballyfatten,,172764,PI,206021,.07,NULL,USDA,377,dessert
9,South,27,4311,2013,0,0,0,Ballyfatten,,172764,PI,206021,.07,NULL,USDA,377,dessert
3,North,26,6068,2013,0,0,1,Barry,,16807,PI,589428,.06,NULL,USDA,517,dessert
12,South,50,6069,2013,0,0,0,Barry,,16807,PI,589428,.06,NULL,USDA,517,dessert
7,North,26,6191,2013,0,0,0,Battleford,,3750,PI,588846,.05,NULL,USDA,556,cider
19,South,29,6192,2013,0,0,0,Battleford,,3750,PI,588846,.05,NULL,USDA,556,cider
12,North,43,6098,2013,0,0,0,Beacon,,21820,PI,589885,.06,NULL,USDA,527,dessert
17,South,33,6099,2013,0,0,0,Beacon,,21820,PI,589885,.06,NULL,USDA,527,dessert
1,North,13,5145,2013,0,0,1,Bean,,13751,PI,589291,.07,NULL,USDA,435,dessert
16,South,52,5146,2013,0,0,0,Bean,,13751,PI,589291,.07,NULL,USDA,435,dessert
11,North,49,6163,2013,0,0,0,Beatrix,,21991,PI,589914,.07,NULL,USDA,547,dessert
11,South,5,6165,2013,0,0,0,Beatrix,,21991,PI,589914,.07,NULL,USDA,547,dessert
13,North,53,5222,2013,0,0,0,"Beauty of Bath",,18807,PI,589664,.06,NULL,USDA,461,dessert
18,South,46,5223,2013,0,0,1,"Beauty of Bath",,18807,PI,589664,.06,NULL,USDA,461,dessert
19,North,5,6052,2013,0,0,1,"Bedford Red",,9352,PI,589121,.07,NULL,USDA,512,cider
19,South,41,6053,2013,0,0,0,"Bedford Red",,9352,PI,589121,.07,NULL,USDA,512,cider
11,South,1,6054,2013,1,0,1,"Bedford Red",,9352,PI,589121,.07,NULL,USDA,512,cider
15,North,21,5315,2013,0,0,0,Beforest,,17959,PI,589543,.06,NULL,USDA,492,dessert
12,South,51,5316,2013,0,0,1,Beforest,,17959,PI,589543,.06,NULL,USDA,492,dessert
9,North,4,6166,2013,0,0,0,"Belle de Boskoop",,226719,PI,300258,.05,NULL,USDA,548,cider
10,South,50,6167,2013,0,0,0,"Belle de Boskoop",,226719,PI,300258,.05,NULL,USDA,548,cider
17,North,18,5126,2013,0,0,1,"Belle de Crollon",,140130,PI,162544,.07,NULL,USDA,429,cider
9,South,57,5128,2013,0,0,1,"Belle de Crollon",,140130,PI,162544,.07,NULL,USDA,429,cider
11,North,7,5003,2013,0,0,1,"Belle Imperiale",,133110,PI,126495,.04,NULL,USDA,388,cider
18,South,1,5004,2013,1,0,0,"Belle Imperiale",,133110,PI,126495,.04,NULL,USDA,388,cider
6,South,58,5005,2013,0,0,0,"Belle Imperiale",,133110,PI,126495,.04,NULL,USDA,388,cider
1,North,18,5171,2013,0,0,1,Benoni,,9333,PI,589120,.09,NULL,USDA,444,dessert
6,South,14,5172,2013,0,0,0,Benoni,,9333,PI,589120,.09,NULL,USDA,444,dessert
2,North,19,6109,2013,0,0,1,"Berlepsch Red",,17161,PI,589438,.07,NULL,USDA,530,dessert
10,South,41,6111,2013,0,0,1,"Berlepsch Red",,17161,PI,589438,.07,NULL,USDA,530,dessert
8,North,48,6026,2013,0,0,0,"Berner Rosen",,17143,PI,589435,.06,NULL,USDA,503,dessert
