"nurseryid"	"(Z)-4-Decen-1-ol"	"1-Butanol"	"1-Butanol, 2-methyl-, (S)-"	"1-Butanol, 2-methyl-, acetate"	"1-Heptanol"	"1-Hexanol"	"1-Pentanol"	"1-Propanol"	"1-Propanol, 2-methyl-"	"1,3-Dioxolane, 2,4,5-trimethyl-"	"2-Butenoic acid, ethyl ester, (Z)-"	"2-Hexenal"	"2-Propanone, 1-hydroxy-"	"2-Propenal"	"2,3-Butanediol, [S-(R*,R*)]-"	"2,3-Butanedione"	"à-Farnesene"	"Acetic acid"	"Acetic acid, butyl ester"	"Acetic acid, hexyl ester"	"Acetic acid, methyl ester"	"Acetic acid, pentyl ester"	"Acetone"	"Benzene"	"Benzene, (methoxymethyl)-"	"Butanal"	"Butanoic acid, 2-methyl-, ethyl ester"	"Butanoic acid, 2-methyl-, hexyl ester"	"Butanoic acid, 2-methylbutyl ester"	"Butanoic acid, 2-methylpropyl ester"	"Butanoic acid, hexyl ester"	"Butanoic acid, methyl ester"	"Butanoic acid, pentyl ester"	"Butanoic acid, propyl ester"	"Butyrolactone"	"Carbon disulfide"	"Dimethyl ether"	"Estragole"	"Ethanol"	"Ethyl Acetate"	"Furan, 2-ethyl-"	"Furfural"	"Heptanal"	"Hexamethylene diacrylate"	"Hexanal"	"Hexane, 1-methoxy-"	"Hexanoic acid, ethyl ester"	"Hexanoic acid, propyl ester"	"Isobutyl acetate"	"Isopropyl Alcohol"	"Methyl formate"	"Methyl glyoxal"	"Methylene chloride"	"n-Propyl acetate"	"Nitrous oxide"	"Pentanal"	"Propanal"	"Propanoic acid, butyl ester"	"Propanoic acid, hexyl ester"	"Propanoic acid, propyl ester"	"Tetrahydrofuran"	"Trimethylene oxide"
1252	8466865	14880519	0	0	0	0	1107838	0	0	0	0	0	0	0	0	0	0	0	562408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5707824	0	0	0	0	0	0	0	0	0	0	114966664	0	0	1611890	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1253	3445015	6383483	0	3284410	324500	0	0	0	0	0	0	0	0	0	0	0	0	0	43209969	0	139374	1507661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2336	605223	22581042	0	0	0	0	1378968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5126394	0	0	0	50007	0	0	0	606062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13055	471813	15119600	0	14078405	0	0	384083	0	0	0	0	0	0	0	0	0	0	0	139029226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1959704	0	0	0	0	0	0	0	0
1002	0	5144022	0	7803452	0	0	0	0	0	0	0	0	0	0	0	0	0	747126	0	120396080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1493846	0	0	0	0	0	0	0	0
1014	0	3878129	0	7366213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29664486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157321	0	0	0	0	0	0	0	0	0	644784	0	0	0	0	0	285566	0	0	0	0	0	0	0
1018	0	3306173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1020	0	4099995	0	72607341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87311541	22023987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1995959	0	0	0	0	0	0	0	0
1023	0	10513236	0	67179999	0	0	317711	0	0	0	0	0	0	0	0	0	0	0	0	0	240895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10375834	0	0	0	3180985	0	0	0	0
1025	0	17552652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85238314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028894	0	0	0	0	0	0	0	0
