PLANTID,apple_id,ACCID,origin,species,use,country,world,release_year,acidity_16_stor,brix_16_stor,weight_16_stor,firmness_16_stor,brix_acid_16_stor,acidity_16_harv,juiciness_16_harv,date_16_harv,weight_16_harv,brix_16_harv,firmness_16_harv,flowering_16_harv,precocity_16_harv,brix_acid_16_harv,time_ripen_16_harv,percent_acidity_16,percent_brix_16,percent_weight_16,percent_firmness_16,percent_brix_acid_16,acidity_17_stor,brix_17_stor,weight_17_stor,firmness_17_stor,brix_acid_17_stor,brix_17_harv,acidity_17_harv,date_17_harv,firmness_17_harv,weight_17_harv,brix_acid_17_harv,percent_acidity_17,percent_brix_17,percent_weight_17,percent_firmness_17,percent_brix_acid_17,tpc,frap,time_ripen_2017
Enterprise,3,25048,Kentville,NA,dessert,United States,new,1993,5.494,13.9,167.911,6.0363,2.530032763,6.827005124,15.78567257,304.3037758,202.5008232,13.14982021,7.400917542,153.9841382,1.052542193,1.96852251,150.6535842,-19.5254742,5.704867279,-17.08132474,-18.43849136,28.52445171,9.112,14.15,232.495,5.9456,1.596903326,11.71050146,11.77744594,271.7880778,9.721312767,231.5471548,0.987103293,-22.63178245,20.83171718,0.409352975,-38.83953595,61.77671964,3.35427968,2.866366132,117.861319155736
Florina,4,86849,Kentville,domestica,dessert,France,old,1977,3.8324,13.8,128.48,5.3494,3.600876735,4.012641918,15.48567257,312.7175027,156.217405,13.10971485,6.7318781,153.0592165,1.023435261,3.426369582,160.6896777,-4.491851555,5.265447479,-17.75564315,-20.53629135,5.093062774,NA,10,165.208,6.1048,NA,11.22175449,7.986802218,271.3793452,9.747240575,185.5176908,1.388558117,NA,-10.88737494,-10.94757633,-37.36894095,NA,4.381099666,4.966832772,118.288560644278
Liberty,5,5016,Kentville,domestica,dessert,United States,new,1978,3.9128,13,139.534,5.06865,3.39610541,5.754196224,15.07328259,296.9166281,156.1079631,12.01704644,6.608581982,151.9676369,0.925695951,2.098097475,145.0882589,-32.00092858,8.179660201,-10.6169876,-23.30200315,61.86595,6.499,12.9,167.43,6.1086,1.984920757,11.3188589,11.13817787,271.5856771,9.581089492,181.5760067,1.104211195,-41.65113834,13.9690857,-7.790680599,-36.24315893,79.75915899,4.599881753,5.309309287,119.586244254296
Judaine,6,NA,Kentville,domestica,cider,France,old,NA,6.1908,12.7,105.926,7.7368,2.051431156,7.585420898,11.34631474,311.7342457,124.0676611,12.96033347,9.972144565,154.2727995,2.014587165,1.66812219,157.7635514,-18.38554402,-2.008694211,-14.6223931,-22.41588607,22.97847052,6.9948,12.2,111.272,7.5842,1.744152799,10.89905144,11.12694502,268.2190525,12.68708103,111.8238701,1.023570479,-37.13638393,11.93634668,-0.493517229,-40.22108017,70.39889632,5.167901781,5.799800623,114.049652059583
Moira,12,24866,Kentville,domestica,dessert,Canada,new,1978,5.762,12.8,79.3075,3.962875,2.221450885,6.793034112,13.90006604,297.3869555,104.6173803,12.58779756,5.256382758,152.9925428,1.015444145,1.801894934,144.4653776,-15.17781444,1.685778938,-24.19280641,-24.60832511,23.28415175,7.0216,11.9,112.128,4.2076,1.694770423,11.09376973,10.1858648,271.5085905,8.342053112,134.4272698,1.123442562,-31.06525428,7.267414873,-16.5883528,-49.56157743,50.85510199,5.009882241,5.320114704,118.536695599895
INR 6407,13,NA,Kentville,domestica,dessert,Canada,new,NA,6.0702,15,129.292,6.7293,2.471088267,5.424962453,9.08567257,308.6937041,146.8337421,14.21798899,8.950785218,151.9661539,1.441380197,2.646318591,156.9680105,11.89386198,5.500152019,-11.94666965,-24.81888643,-6.621663944,6.566,12.8,103,8.0164,1.949436491,11.95066238,8.685974092,260.6647072,9.50480252,96.00580171,1.429254766,-24.4068664,7.107033833,7.285182937,-15.65947864,36.39531156,2.751783508,2.99637308,108.657282719117
CBR 4T 29,14,NA,Kentville,domestica,dessert,Canada,new,NA,3.7252,11.3,181.7655556,6.594,3.03339418,3.973089051,14.14631474,311.6156403,212.6250271,11.36762459,8.662855815,153.0404443,0.988784319,2.915037533,157.3789238,-6.239201986,-0.594887625,-14.513565,-23.88191445,4.060210044,2.7202,11.2,135.906,7.9234,4.117344313,10.05085212,4.894038691,274.7198335,9.660376005,192.7323435,2.197624217,-44.41809369,11.4333379,-29.48459114,-17.9804182,87.35433842,4.883580265,5.360555502,121.677797426361
Co-op 29,15,NA,Kentville,domestica,dessert,United States,new,2004,5.1992,12,116.3,6.1415,2.308047392,5.624962453,14.28567257,308.6937041,131.4337421,11.58465566,8.896785218,153.9661539,1.473531087,2.057524669,154.9680105,-7.569160805,3.58529726,-11.51435078,-30.9694474,12.17592802,5.5878,12,135.97,6.6554,2.147535703,9.950662381,8.056174092,274.6647072,10.04300252,149.5858017,1.28668612,-30.63953266,20.59498695,-9.102335622,-33.73097351,66.90439641,5.717452242,6.53363472,120.657282719117
Topaz,16,NA,Kentville,domestica,dessert,Czech Republic,old,2001,3.2294,12.7,119.0955556,5.071666667,3.932619062,5.652827734,NA,311.1683637,136.1552047,12.34239002,7.642045884,152.3360493,1.020740488,2.160290545,159.0199344,-42.87106999,2.897412742,-12.52956082,-33.63470014,82.04121068,9.782,14,182.3475,7.59275,1.431200164,12.10098252,12.36001188,281.9265069,9.444767663,208.217704,1.092939504,-20.85768127,15.6930851,-12.42459381,-19.6089277,30.94962337,3.609022871,4.597385459,130.043792873542
Rebella,23,NA,Kentville,domestica,dessert,Germany,old,2000,3.6046,13.2,140.834,5.8507,3.66198746,6.66771556,20.4339403,307.7441752,166.1830461,12.9754788,6.662962508,153.0706615,0.98878432,1.987586721,154.7285276,-45.93950555,1.730350051,-15.25368965,-12.19071107,84.24290234,6.7268,11.7,NA,NA,1.739311411,11.61104863,10.536717,250.6602307,7.914276005,118.1797361,1.03267503,-36.15848275,0.766092486,NA,NA,68.42775911,1.328170049,1.956228813,97.761277710982
Britegold,24,19536,Kentville,domestica,dessert,Canada,new,1980,1.1658,12.7,99.128,4.533,10.89380683,1.035508684,16.21947361,284.1507121,118.2132692,11.2711202,6.930382549,151.9150877,0.993782122,9.231422121,132.3652916,12.58234899,12.67735394,-16.14477744,-34.59235521,18.00789396,1.4606,12.7,139.872,4.4396,8.695056826,11.31934942,1.926087492,264.489435,9.037425614,167.776181,5.384715083,-24.16751546,12.19726089,-16.63178937,-50.87539096,61.47663695,2.603280994,2.937466905,112.494929636567
Co-op 28,25,25043,Kentville,NA,dessert,United States,new,1990,4.5694,12.9,138.155,4.8513,2.823127763,4.924962453,12.48567257,308.6937041,175.9337421,12.66243344,7.600785218,153.0778902,1.930878465,2.605856689,154.9680105,-7.219597239,1.876152521,-21.47327832,-36.17369968,8.337798266,6.0836,12.4,182.684,7.6226,2.038266816,12.16611829,6.559240888,271.4425475,7.836261661,187.4746353,1.996816126,-7.251462425,1.922402035,-2.555351154,-2.726576401,2.075839093,2.722086328,3.394826278,118.383883176292
Macfree,28,552476,Kentville,domestica,dessert,Canada,new,1974,4.2076,12.9,101.76,4.259428571,3.065880787,4.352827734,19.48567257,289.3046439,130.6840026,11.84239002,6.122365635,153.1794512,1.001417692,2.644487712,136.5644374,-3.336399765,8.930713981,-22.13277984,-30.42838626,15.93477154,7.37,14.3,117.024,5.1568,1.940298507,12.28275645,9.981720735,271.3167592,9.369220102,133.8006544,1.292371626,-26.16503511,16.42337826,-12.53854435,-44.96020006,50.13471889,4.596838461,5.127708143,118.214758371446
Richelieu,30,NA,Kentville,domestica,dessert,Canada,new,1983,6.3516,13.9,119.973,6.122,2.188424964,6.349392769,13.16453273,276.8145224,159.3257951,12.64370458,4.842886696,152.160873,1.042464058,2.028933678,124.9137456,0.034762865,9.936133943,-24.69957552,26.41220794,7.860842727,5.9764,11.2,154.492,3.1538,1.874037882,13.12090725,11.88479429,254.6577583,6.888563846,183.0793728,1.088136439,-49.71389613,-14.640049,-15.6147426,-54.21687204,72.22453133,3.648214915,4.364849034,102.797201105044
Fantazja,31,14948,Kentville,domestica,dessert,Poland,old,1960,6.7268,13.5,126.7185714,3.796,2.006897782,5.018189633,12.84631474,290.9877591,185.9308276,13.24429482,5.967870244,151.7787355,1.507808574,2.617126601,138.82395,34.04834198,1.930681689,-31.84638983,-36.39271893,-23.31674818,4.8106,11.1,140.25,3.3408,2.307404482,11.75527815,7.463329535,250.1666228,6.939158623,153.0880502,1.587589001,-35.54351342,-5.574331298,-8.38605638,-51.85583467,45.34016554,5.156946051,5.101336367,101.612330903289
Shizuka,32,NA,Kentville,domestica,dessert,Japan,old,NA,4.5426,13,212.3733333,4.206166667,2.861797209,3.462342069,18.57805462,304.3465299,228.1131159,13.04999967,7.17374323,153.8731036,2.039072511,3.584629737,150.6446642,31.20020812,-0.383139219,-6.899990165,-41.36719796,-20.16477521,4.1942,15,303.038,4.827,3.576367364,13.16409768,6.333769697,278.331745,8.083351875,332.9264093,2.075230637,-33.78035198,13.94628302,-8.977482251,-40.28467306,72.33589851,1.349569591,2.310998979,124.381330812935
SJCXN982,34,NA,Kentville,domestica,dessert,Canada,new,NA,2.01,13.8,127.85,6.3343,6.865671642,4.712641918,19.73923948,312.8787617,100.2024501,10.92082596,9.270146875,153.6984915,1.496476894,2.440242987,159.3737469,-57.34876456,26.36406852,27.59169047,-31.6699068,181.351967,NA,NA,NA,NA,NA,11.12329537,NA,275.5757875,11.03238356,171.3479923,NA,NA,NA,NA,NA,NA,2.197380724,2.212723939,121.641039979743
MN1839,36,NA,Kentville,domestica,dessert,Canada,new,NA,2.8006,13.2,151.839,4.9732,4.713275727,3.718205419,15.33923948,306.4032332,196.9706909,12.22780898,7.366989098,153.7179471,1.006336745,3.393106511,152.5751477,-24.67871771,7.95065594,-22.91289667,-32.49345243,38.90739093,4.288,12.8,155.3,5.4346,2.985074627,12.64177382,4.696552644,261.3251685,9.07770903,148.2337798,2.713527375,-8.698989987,1.251613753,4.766943265,-40.13247195,10.00716833,2.247511597,3.200382207,NA
Keepsake,39,21860,Kentville,domestica,dessert,United States,new,1979,4.935666667,13.43333333,124.9143333,6.079666667,2.914666991,3.920452502,14.82276831,301.9525306,150.799282,12.10410501,8.538212153,153.8553325,1.294925872,3.134053164,148.0353106,25.89533133,10.98163249,-17.16516707,-28.79461698,-7.000078219,4.5292,13.6,176.44,7.683,3.00273779,10.85819087,NA,274.3126837,10.83520182,175.6978532,NA,NA,25.2510677,0.422399472,-29.09222984,NA,3.103464843,3.814427602,120.393351168681
Braeburn,40,17183,Kentville,domestica,dessert,New Zealand,new,1952,5.0518,12.8,119.368,7.6944,2.533750346,6.071576043,11.96947361,307.0020419,137.7562066,11.95891969,10.19143082,155.4094767,1.473531086,2.010314817,151.7114914,-16.79590333,7.033079376,-13.34836888,-24.50127825,26.03749048,4.0736,12.8,84.78,11.7262,3.142183818,9.940206303,6.127127054,274.8342029,12.90914304,94.78522799,1.723394309,-33.5153333,28.76996322,-10.55568279,-9.163606277,82.3252985,4.182741009,4.060908172,119.296736237382
Rubinette,43,NA,Kentville,domestica,dessert,Switzerland,old,1976,7.4102,17.2,111.023,4.5267,2.321124936,7.644249152,8.231863594,309.0374182,131.4478723,16.54059694,4.894473081,154.0617443,0.970552113,2.145432417,154.9847477,-3.061767704,3.986573552,-15.53838184,-7.514048504,8.189142547,4.8642,15.5,117.1533333,4.506266667,3.283293316,13.79091353,7.677219414,277.0258796,7.211725424,128.6200937,1.871521616,-36.64112307,12.3928445,-8.91521692,-37.51472218,75.43443195,3.135950535,3.884033599,122.9936543621
SJCA 16R5A15,44,NA,Kentville,domestica,dessert,Canada,new,NA,4.7034,13,109.7888889,3.839777778,2.763957988,3.562342069,14.43923948,290.3749469,154.3657481,12.72777744,4.898146597,151.7939225,1.558395307,3.413989462,138.9744568,32.0311163,2.138806689,-28.87742892,-21.60753661,-19.04023082,4.3081,11.6,111.424,4.2645,2.687594206,13.37265522,6.663503469,257.4066425,7.005351898,164.7491128,1.991455582,-35.34782386,-13.25582088,-32.36746582,-39.12511374,34.95627168,2.485676966,3.304634752,105.544149796728
Melrose,45,15693,Kentville,domestica,dessert,United States,new,1944,4.422,13.1,163.63,4.9346,2.962460425,5.035689152,15.01947361,308.2898265,176.6134064,12.6172115,7.656742721,153.9809636,2.441380197,2.647772434,154.2437611,-12.18679576,3.826427869,-7.351314196,-35.5522292,11.88500894,4.9044,12.6,202.512,6.279,2.569121605,10.9441135,5.712940081,268.0093829,7.639751783,218.4582362,1.956901649,-14.15278419,15.13038492,-7.299443798,-17.81146589,31.28516736,3.00302921,3.70695998,114.012260254423
Red Delicious,48,NA,Kentville,domestica,dessert,United States,new,1895,2.7738,13.7,188.232,4.7989,4.939072752,2.524478374,13.95006604,310.3270643,168.9800683,12.0839914,6.932612026,153.0812085,1.9626323,4.815773421,156.9519854,9.876164051,13.37313599,11.39301922,-30.77789465,2.560322512,2.6398,11.7,NA,NA,4.432153951,9.934725721,2.722359234,275.1026308,8.270291099,220.5491493,3.531043375,-3.032635548,17.76872687,NA,NA,25.51966885,3.590992339,3.771621226,122.096898190801
SPA 283,49,NA,Kentville,domestica,NA,NA,NA,NA,5.561,15.4,213.71,8.2382,2.7692861,5.952827734,16.58567257,310.3046439,218.9840026,14.03961224,9.565365635,153.2044237,2.020740488,2.332523398,155.5644374,-6.58221188,9.689639112,-2.408396279,-13.87469843,18.72490117,3.2562,15.3,180.772,9.1664,4.698728579,13.02233895,5.71264013,285.1735086,9.986720126,222.1358053,2.429348016,-43.00008532,17.49041443,-18.62095365,-8.214109491,93.41521049,3.090909101,3.751074846,132.095965215996
8S-29-18,50,NA,Kentville,domestica,dessert,Canada,new,NA,2.077,12.4,110.849,6.5639,5.970149254,3.052827734,17.48567257,310.3046439,143.7840026,12.5201678,8.226365635,153.1212051,2.961631233,3.867075913,155.5644374,-31.96471662,-0.959793819,-22.90588799,-20.20899276,54.3840718,3.082,13.1,125.388,7.218,4.250486697,11.45647657,4.01634535,268.4075092,9.514859723,178.4581418,2.967193395,-23.26357095,14.34580185,-29.73814548,-24.13971188,43.2493987,3.032949913,3.733566771,115.42539809206
Maigold,51,NA,Kentville,domestica,dessert,Switzerland,old,1964,5.2126,13,117.469,7.0417,2.49395695,7.082734839,17.56947361,309.4297892,131.7021113,12.77831984,9.658525533,152.1499072,3.008645377,1.824721733,156.9414899,-26.40413458,1.734814644,-10.80704869,-27.09342667,36.67601506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.524674641,3.979938664,NA
SPA 505,53,NA,Kentville,domestica,NA,NA,NA,NA,6.1372,15.8,143.528,9.0459,2.574463925,4.091804852,12.00006604,311.1644458,154.2702289,14.14617388,10.45569787,152.8473736,1.497313696,3.474996978,158.1667384,49.98760259,11.69097834,-6.96325466,-13.4835368,-25.91464278,2.2244,12.1,107.492,6.9146,5.439669124,10.31384084,3.429617141,278.718415,8.527358795,144.2038048,2.87687255,-35.14144849,17.31807959,-25.45827751,-18.91275873,89.08272888,5.868114142,6.455889383,125.835873535897
McShay,55,NA,Kentville,domestica,dessert,United States,new,1988,6.2444,11.4,150.804,2.9294,1.82563577,4.954196224,14.14277711,292.6511682,201.0286177,11.41704644,4.202110913,154.0559263,2.42569595,2.298800564,138.3691922,26.04264583,-0.149306876,-24.98381487,-30.28741838,-20.58311633,NA,NA,NA,NA,NA,13.15867484,8.504362254,267.8948458,6.709535853,197.902908,1.578527514,NA,NA,NA,NA,NA,2.294114841,3.072404173,113.963175480905
Zestar,56,NA,Kentville,domestica,dessert,United States,new,1999,3.9664,13.4,193.062,5.4543,3.378378378,8.014088287,17.0082066,256.5649132,177.4716771,12.73181701,4.892467456,152.1204693,0.982169771,1.739874591,104.2685371,-50.50715867,5.248135393,8.784682214,11.48362354,94.17367178,NA,NA,NA,NA,NA,13.3258753,7.582195703,253.4892293,5.485031208,252.2150087,1.728885365,NA,NA,NA,NA,NA,0.359880699,0.593138773,101.451476991878
McIntosh,57,NA,Kentville,domestica,dessert,Canada,new,1870,4.7436,12.4,128.501,3.9512,2.614048402,6.112641918,17.33923948,284.8787617,169.3024501,11.95415929,5.447146875,151.737429,1.919669344,2.060130265,133.3737469,-22.39689379,3.729586453,-24.0997399,-27.46294362,26.88752969,8.6832,11.6,215.59,3.9554,1.335913027,11.07072396,12.2948524,253.9600365,8.031208561,181.4887236,0.951280926,-29.37532134,4.78086207,18.78974941,-50.74962915,40.43307202,3.786677604,4.360162666,102.188929092979
Priscilla,59,22356,Kentville,domestica,dessert,United States,new,1972,1.541,13.3,97.009,4.5398,8.630759247,1.846415851,7.037184678,293.9453773,98.60082799,12.04054484,5.915637469,151.9470301,0.941380196,6.500304272,141.7411298,-16.54101109,10.46011772,-1.614416454,-23.25763667,32.77469616,5.7955,13.75,102.355,6.9339,2.809350544,13.47249538,5.634822762,271.185911,11.49737715,112.1208291,2.538629355,2.851504732,2.059786378,-8.710093528,-39.6914626,10.66406912,3.906989026,4.476115464,119.111142581877
Pinova,60,NA,Kentville,domestica,dessert,Germany,old,1986,6.231,16.3,127.9933333,9.970333333,2.615952496,7.512641918,16.13923948,312.8787617,182.7024501,15.25415929,8.739146875,151.8798408,1.004112464,2.130150285,161.3737469,-17.05980309,6.856101903,-29.94438047,14.08817675,22.80600639,4.9446,12.3,140.52,6.7852,2.487562189,12.06001632,9.011852401,271.5208268,7.737840551,169.1289948,1.36323869,-45.13225717,1.989911743,-16.91548799,-12.31145233,82.47444177,4.429159302,4.727924459,119.580035336823
Piflora,61,NA,Kentville,domestica,dessert,Germany,old,1999,10.72446667,14.8,139.7286667,6.2714,1.442759079,7.447458776,9.641539933,306.3000604,179.6613633,14.06110565,6.86106909,153.5208753,0.965009722,1.886270357,152.9999347,44.00169225,5.25488087,-22.22664679,-8.594419937,-23.51260391,8.2812,13.2,190.122,5.2024,1.593971888,12.03099897,8.178142216,265.2632809,8.576292372,209.0378821,1.507561343,1.26016131,9.71657496,-9.049021103,-39.33975459,5.731809565,4.579785672,4.42613332,111.867413236735
Aroma,63,14964,Kentville,domestica,dessert,Sweden,old,1973,5.8558,12.9,107.4028571,7.596714286,2.20294409,7.599621793,12.11947361,271.4384967,159.720469,12.93496757,6.352194446,153.9865746,1.961631233,1.712385822,117.3975612,-22.94616548,-0.270333667,-32.75573394,19.591967,28.64764831,NA,NA,NA,NA,NA,14.77975849,15.4431082,253.7062327,7.927009723,129.973803,0.992314852,NA,NA,NA,NA,NA,2.216762932,2.367629748,99.6805397739068
Holly,65,21854,Kentville,domestica,dessert,United States,new,1970,2.345,14,121.783,3.6469,5.970149254,2.012641918,14.28567257,312.7175027,158.817405,13.79860374,7.0908781,153.9621489,2.504112465,7.318707263,158.6896777,16.51352278,1.459540871,-23.31885788,-48.5691342,-18.42617775,2.7604,15.5,94.976,5.0698,5.615128242,11.1755183,3.3816069,264.4865993,9.323540551,145.1266287,3.379864621,-18.37016894,38.69602804,-34.55646229,-45.62366118,66.13470868,4.161392545,3.995964769,110.394763281423
Elstar,67,17171,Kentville,domestica,dessert,Netherlands,old,1972,7.8457,14.75,124.6795,4.76855,1.868377886,6.685508684,13.62328259,301.3240965,160.8321674,13.48223131,5.861899637,153.7506524,1.994645592,2.055629807,146.7773112,17.35382259,9.403255737,-22.47850538,-18.65179728,-9.109223854,6.6196,12.5,165.902,3.9388,1.888331621,12.03555115,8.431376739,263.4444364,7.233679904,155.0169129,1.548942119,-21.48850413,3.858974542,7.021870677,-45.54915268,21.91105128,2.193637437,2.984837262,109.780198556378
Rewina,68,NA,Kentville,domestica,NA,NA,NA,NA,6.7938,14.9,111.576,6.1499,2.193176131,6.96353585,18.38567257,310.4143018,120.896997,14.06320488,7.578518154,153.999503,0.999616509,1.999524698,156.5366977,-2.437495173,5.950244799,-7.709866436,-18.85089043,9.684873262,8.3348,12.7,148.904,6.1284,1.523731823,11.63219717,9.008374181,267.9184673,8.065786852,169.0151794,1.293485819,-7.4772003,9.179717446,-11.89903739,-24.01981217,17.80042742,4.427800013,4.738639361,113.84726351981
Regine,69,NA,Kentville,domestica,dessert,Germany,old,2000,6.7134,13.7,140.041,8.7295,2.04069473,8.027005124,16.98567257,304.3037758,159.1008232,13.09426465,8.243917542,156.7809189,1.044906623,1.646688788,147.6535842,-16.3648223,4.625959242,-11.97971376,5.890190628,23.92716489,7.1556,14.9,177.118,8.5328,2.082285203,13.03481882,NA,275.0210234,7.865018279,231.0241299,NA,NA,14.30922218,-23.33354958,8.490529808,NA,2.358389116,2.251791456,118.005228304146
Blackmac,70,NA,Kentville,domestica,NA,Canada,new,NA,4.8374,12.3,155.026,3.7901,2.542688221,6.194501893,17.18567257,281.5727199,168.0390586,11.34067344,5.343113035,152.2132329,1.978459936,1.850906006,129.3448494,-21.90816818,8.459167511,-7.744067805,-29.06569681,37.37532931,5.7888,11.1,157.766,3.9168,1.917495854,10.08062544,10.01902963,246.7416834,7.819457359,137.2667925,1.033523982,-42.22194948,10.11221537,14.9338432,-49.90956763,85.52988484,4.820027885,5.567975979,94.620348118386
MN1797,71,NA,Kentville,domestica,dessert,Canada,new,NA,2.5862,13.7,187.719,4.9084,5.29734746,3.45497585,14.01947361,309.3021799,181.4483708,12.58426389,6.286282391,151.8010611,1.285791847,3.685309502,157.3683354,-25.14564177,8.866121344,3.45587515,-21.91887518,43.74226795,6.2243,13.2,184.573,5.1882,2.128607132,13.4805133,7.707502682,265.0611201,8.246684921,201.7564409,1.775299169,-19.24362201,-2.080879935,-8.516923067,-37.08744726,19.90131964,2.573123127,2.149618889,113.055492995793
Sir Prize,74,22314,Kentville,domestica,dessert,United States,new,1975,4.8106,11.6,137.25625,3.502625,2.411341621,5.96353585,9.939239478,309.793149,169.0259971,11.26320488,3.613227055,153.9624619,0.992817741,1.871027742,155.5057285,-19.33309163,2.990224546,-18.79577557,-3.061032522,28.87791918,6.901,12,132.244,4.0324,1.738878423,10.43050977,9.976075826,260.9679028,7.764501163,137.9294323,1.151016767,-30.82450334,15.04710959,-4.121986277,-48.0662065,51.07324872,4.255456976,5.018653829,107.096241447921
Resi,75,NA,Kentville,domestica,dessert,Germany,old,NA,6.2712,12.8,91.484,9.2579,2.041076668,5.346415851,17.78982599,266.7921777,104.6731621,10.87198957,7.783777127,153.9057604,1.008982664,2.031709947,112.7286027,17.29727307,17.73374062,-12.60032831,18.93840033,0.461026487,7.3432,12.5,139.118,8.116,1.702255148,11.19674893,7.278234842,255.263117,9.199951783,149.8642409,1.471524294,0.892594975,11.63954893,-7.17065046,-11.78214635,15.6797176,2.711783449,2.940236728,101.392421021894
Redstarkingvale,76,NA,Kentville,domestica,NA,NA,NA,NA,2.715733333,12.7,153.5274074,5.410422222,4.681309987,2.809561939,12.44881561,306.9072358,176.093896,11.45642292,7.628581578,152.4988724,1.037699309,4.14797932,154.2022921,-3.339616911,10.85484611,-12.8150317,-29.07695661,12.85760189,1.9028,10.1,NA,NA,5.307967206,10.12905588,3.581485741,279.7219026,9.308661702,168.4270319,2.924640901,-46.87121106,-0.286856697,NA,NA,81.4912458,4.90227172,5.374621658,127.095624178697
NY74828,77,NA,Kentville,domestica,dessert,Canada,new,NA,6.767,13.7,125.177,4.3128,2.024530811,7.469124316,10.7839403,290.1155772,176.6356364,12.93469508,4.770618811,152.2156982,0.964433484,1.716850336,137.9736189,-9.400356543,5.916683143,-29.13264699,-9.596633664,17.92121704,6.7402,12.5,133.842,3.973,1.854544376,12.19126713,10.52921881,257.9739085,8.503924349,146.2879687,1.182465383,-35.9857543,2.532409986,-8.507855311,-53.28039342,56.83709668,1.232596985,2.129521344,105.990994519608
Freedom,81,NA,Kentville,domestica,dessert,United States,new,1983,4.0066,13.9,146.275,3.6282,3.469275695,4.373881484,8.889825985,307.8099046,159.2690913,12.5759999,4.559824696,153.0760186,1.002088302,2.82477146,154.9257519,-8.397152163,10.52799069,-8.158576885,-20.4311516,22.81615502,5.2662,12.9,NA,NA,2.44958414,11.49363041,7.219865495,257.8820068,8.372656122,169.0548929,1.54387356,-27.05958298,12.23607807,NA,NA,58.66481586,3.349151067,4.05676846,104.93914048254
Remura,82,NA,Kentville,domestica,NA,NA,NA,NA,4.3148,14.2,115.882,3.1702,3.290998424,4.246415851,10.64631474,287.2302201,148.069575,13.34976735,4.88984693,150.83241,2.012755732,3.125355272,135.0494619,1.610396901,6.368894905,-21.73814235,-35.16770472,5.299978331,4.6096,10.6,125.588,3.657,2.299548768,11.3454624,7.406419625,253.9856666,7.128952388,154.6255633,1.534364592,-37.76210054,-6.570577468,-18.7792773,-48.70214022,49.86977539,4.317262187,4.598363254,103.105312410565
Murray,84,17524,Kentville,domestica,dessert,Canada,new,1980,12.5156,11,166.618,6.0782,0.878903129,9.773664814,12.45864705,309.9229973,171.744546,11.84153173,8.970718508,153.3852357,0.981722697,1.230344374,156.5252414,28.05431984,-7.106612112,-2.984983315,-32.24400036,-28.56446153,9.4068,11.9,198.596,5.0782,1.26504231,11.61540347,12.42987633,288.4030825,8.825967663,182.7153698,0.992582422,-24.32104913,2.450164811,8.691458338,-42.46296617,27.44959835,3.492272072,3.924301285,136.348819293391
SJC 658,85,NA,Kentville,domestica,dessert,Canada,new,NA,6.8608,14.6,173.36375,4.761625,2.128031716,6.200817707,13.91453273,285.4176039,189.667308,12.87751198,5.377989127,152.8933836,0.957664807,2.119685291,132.5416313,10.64347195,13.37593797,-8.595871438,-11.46086599,0.393757768,5.1858,12.6,250.166,4.0206,2.429711906,11.46391685,6.987227088,257.6130087,7.024989141,225.8635551,1.729538097,-25.78171663,9.910078453,10.75979032,-42.76717131,40.48328335,5.934072192,6.679082541,104.693267247351
Galarina,89,NA,Kentville,domestica,dessert,France,old,1985,4.221,12.7,88.675,NA,3.008765695,4.004863743,18.60006604,304.8179316,101.3818516,12.06919495,8.995805387,155.56513,2.000489452,3.171056213,149.0893572,5.396844196,5.226571055,-12.53365507,NA,-5.11786947,6.365,NA,140.416,9.4822,NA,9.358674841,7.284962254,274.8948458,9.19060252,139.1375747,1.312071433,-12.62823638,NA,0.918821022,3.172778707,NA,4.243815758,3.388908816,120.963175480905
K: 1107,93,NA,Kentville,NA,NA,NA,NA,NA,4.6632,12.4,121.882,3.8914,2.659118202,5.462342069,17.13923948,290.3749469,161.2657481,12.33888856,5.556146597,151.8997699,1.002088302,2.278317981,136.9744568,-14.63002607,0.495275113,-24.42164473,-29.96225114,16.71409453,3.0954,11.8,129.328,4.1262,3.81210829,11.4671308,5.975361292,255.5447345,8.305881035,134.7945677,1.880145346,-48.19727463,2.90281161,-4.055480697,-50.32194679,102.7560421,3.937953748,4.105466028,105.633169745826
SJC 8444-2,95,NA,Kentville,domestica,dessert,Canada,new,NA,NA,14.8,141.627,3.6538,NA,NA,11.36599365,286.1672964,167.675708,13.6872801,6.215010262,152.0707751,1.02343526,NA,133.954073,NA,8.129591052,-15.53517101,-41.21007294,NA,1.943,12.45,107.422,3.9066,6.436282546,11.43572248,2.152444399,253.6620518,7.587740575,126.7136124,5.83125853,-9.730537002,8.869378605,-15.22457775,-48.51431778,10.37553066,3.669207553,2.586535723,101.502765712999
INR 6690,97,NA,Kentville,domestica,dessert,Canada,new,NA,2.9882,13.3,81.835,5.0287,4.450839971,6.405751426,17.28567257,309.8835186,119.4365978,13.30804303,7.575456184,153.1035836,2.061786853,2.083675167,157.5772842,-53.35129634,-0.060437348,-31.48247565,-33.6185191,113.6052702,3.4036,11.4,106.1,5.5462,3.349394758,9.417614597,4.713962458,278.2859158,8.08926387,114.9558409,2.102372994,-27.79747335,21.04976141,-7.703689371,-31.43751904,59.31496306,3.936817363,3.77976203,125.148427280645
