PLANTID,apple_id,ACCID,origin,species,use,country,world,release_year,acidity_16_stor,brix_16_stor,weight_16_stor,firmness_16_stor,brix_acid_16_stor,acidity_16_harv,juiciness_16_harv,date_16_harv,weight_16_harv,brix_16_harv,firmness_16_harv,flowering_16_harv,precocity_16_harv,brix_acid_16_harv,time_ripen_16_harv,percent_acidity_16,percent_brix_16,percent_weight_16,percent_firmness_16,percent_brix_acid_16,acidity_17_stor,brix_17_stor,weight_17_stor,firmness_17_stor,brix_acid_17_stor,brix_17_harv,acidity_17_harv,date_17_harv,firmness_17_harv,weight_17_harv,brix_acid_17_harv,percent_acidity_17,percent_brix_17,percent_weight_17,percent_firmness_17,percent_brix_acid_17,tpc,frap,time_ripen_2017
Purpurroter Cousinot,1036,18339,USDA,domestica,dessert,Netherlands,old,NA,NA,NA,71.68,5.384,NA,5.112641918,7.478054618,312.5921196,100.8966509,11.89860374,7.343323493,153.9206029,1.53278183,2.446426562,158.5176027,NA,NA,-28.95700766,-26.6816993,NA,NA,NA,68.88,7.0002,NA,10.57754763,5.983577424,268.1941091,12.36997743,103.5833976,1.739444268,NA,NA,-33.50285705,-43.40975934,NA,5.266829589,5.724949478,114.121506790498
Marin Onfroy,1041,151027,USDA,domestica,cider,France,old,NA,1.9564,13.4,75.642,6.3673,6.849315068,1.818189633,NA,306.3435492,88.38033224,12.31096149,9.869433639,160.672669,3.005499944,6.2154172,145.9901851,7.601537521,8.846088172,-14.41308481,-35.48464651,10.19879839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.786725066,6.239344629,NA
Milton,1044,6156,USDA,domestica,dessert,United States,new,1923,6.03,12.5,99.496,3.6677,2.072968491,4.224150442,16.21947361,270.98192,101.7513433,12.54666401,6.038742514,151.9789079,1.018939305,2.960663836,118.9328673,42.75059761,-0.37192362,-2.21652431,-39.26384522,-29.98298334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.078285945,5.300582795,NA
Red Cox's Pomona,1048,189766,USDA,domestica,dessert,Denmark,old,1850,6.901,12.9,160.307,3.5106,1.869294305,5.705751426,15.43923948,282.359768,181.9328542,11.57470969,5.461879983,154.2557535,1.071133424,2.038922081,128.2652022,20.94813609,11.44987944,-11.88672286,-35.72542768,-8.319482998,5.8692,10.8,128.316,3.7226,1.840114496,9.267153853,8.809775703,247.2056205,6.716055151,158.9077034,1.069662471,-33.37855357,16.54063557,-19.25124005,-44.57162849,72.02758316,5.108342275,5.13796053,93.2411805271645
Paragon,1051,7553,USDA,domestica,dessert,United States,new,1870,7.1958,13.4,133.105,6.8263,1.862197393,7.203571906,15.85864705,310.7401196,171.1197684,12.5807497,10.14021453,154.0938133,1.316852545,1.811673481,156.4138437,-0.10788961,6.511935461,-22.21529912,-32.68091141,2.788797881,8.500066667,15.9,NA,NA,1.87892523,11.75997952,8.894032218,281.9036113,13.03657159,180.8965268,1.296775488,-4.42954941,35.20431707,NA,NA,44.89209952,5.163815794,5.80332012,127.935848660741
Pott's Seedling,1052,133112,USDA,domestica,dessert,United Kingdom,old,NA,6.0836,13.1,241.822,4.4633,2.153330265,6.79433259,19.01218468,307.338772,237.4423515,12.61671523,6.91441965,154.0311381,1.071133424,1.82185312,153.3013485,-10.46066822,3.830511795,1.844510228,-35.44939089,18.19450432,5.7486,12.7,189.412,5.065,2.209233553,11.93740414,9.870024052,277.9651909,8.829116292,221.0043033,1.14398859,-41.75698084,6.388288895,-14.2948815,-42.6329903,93.11674719,3.107882123,3.191707803,123.868345465464
Renetta Dorata,1056,128291,USDA,domestica,dessert,Italy,old,NA,8.8038,15.7,103.171,4.0635,1.783320839,8.618189633,13.34631474,290.9877591,123.2308276,13.28873927,7.176870244,151.7787355,1.031436941,1.582841442,138.82395,2.153704839,18.1451429,-16.27825438,-43.38061214,12.6657915,NA,NA,NA,NA,NA,12.73108218,NA,274.7602755,9.710683564,165.9511613,NA,NA,NA,NA,NA,NA,4.885215691,5.203379606,122.612330903289
Ortley,1067,13825,USDA,domestica,dessert,United States,new,NA,5.6012,13.3,130.65,NA,2.37449118,4.79525823,12.57328259,306.0810586,135.7519706,12.07533308,7.878328043,154.0920249,1.561786854,2.49695293,151.8805362,16.80705671,10.14188936,-3.758303152,NA,-4.904447654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45749982,2.209096453,NA
Red Ralls,1068,331983,USDA,domestica,dessert,Poland,old,NA,5.0786,13.8,143.981,6.806,2.717284291,6.117251818,12.36947361,309.5676856,158.6075088,13.08641096,9.433020964,155.4330269,2.492817741,2.09869442,153.8208382,-16.97905937,5.452901077,-9.221826179,-27.84920095,29.47498527,3.6984,13.2,NA,NA,3.569110967,11.62807464,4.752197233,285.3179649,9.460105096,108.2778474,2.428475264,-22.17494732,13.5183632,NA,NA,46.96921234,2.688822141,2.605805636,129.82310112782
Nugget,1073,17000,USDA,domestica,cider,United States,new,1966,2.479,13.3,124.31,4.6333,5.365066559,4.66353585,16.03923948,309.793149,151.7259971,12.88542711,5.624227055,153.9624619,0.949328318,2.764420028,155.5057285,-46.84290891,3.217377984,-18.06941302,-17.61890204,94.0756652,NA,NA,NA,NA,NA,16.13050977,9.533875826,274.9679028,9.84856783,150.7407656,1.785729379,NA,NA,NA,NA,NA,3.935790098,3.557470208,121.096241447921
Puregold,1077,22361,USDA,domestica,NA,United States,new,NA,2.345,13.1,106.043,NA,5.586353945,NA,NA,NA,NA,NA,NA,153.2159633,1.002254002,NA,NA,NA,NA,NA,NA,NA,4.7168,15.7,129.71,6.6838,3.328527815,13.94026069,7.138181122,278.1178925,8.201236898,175.6310957,1.966950738,-33.9215422,12.6234319,-26.14633561,-18.50253708,69.22273397,2.442923576,2.840228323,125.016434704262
Mottais,1078,140216,USDA,domestica,NA,France,old,NA,NA,17.3,42.255,5.8347,NA,NA,9.13567257,282.3046439,62.28400257,12.33127891,6.104365635,154.2044237,1.520740488,NA,127.5644374,NA,40.29363969,-32.15753925,-4.417586551,NA,NA,NA,NA,NA,NA,10.92847368,2.429824401,260.7951159,10.79307259,56.8435679,4.988161896,NA,NA,NA,NA,NA,10.89990771,10.82051528,106.733555269767
Mill End,1080,229877,USDA,domestica,dessert,Germany,old,NA,3.7118,14,146.167,4.6262,3.771754944,4.405191676,9.77328259,309.7773419,162.2839408,13.12249456,7.466891107,153.0830545,0.944182448,3.169280364,156.6831264,-15.7403293,6.6870322,-9.93132208,-38.04382663,19.00982277,3.1624,15.5,136.924,6.2244,4.901340754,11.94480203,4.449108367,278.451033,9.978041778,175.326334,2.698207148,-28.92058949,29.76355709,-21.90334624,-37.61902246,81.65175932,2.426545632,2.450226549,125.377418826398
